,name,id,link,puesto,contrato,jornada,localizacion,date,company,min_salario,max_salario
66,Desarrollador .Net con Angular,rf-74e9wceddf4a1yfdc6if,https://www.tecnoempleo.com/desarrollador-net-con-angular-madrid/net-angular-asp-net-api-c-linq-entity/rf-74e9wceddf4a1yfdc6if,Desarrollador Web - Programador,Contrato Obra o servicio,Jornada completa,Madrid,12/11/2018,EIKOS Technology & Consulting,24.000,30.000
67,Senior iOS Developer,rf-0c79o98184ceee39c0g4,https://www.tecnoempleo.com/senior-ios-developer-barcelona/ios/rf-0c79o98184ceee39c0g4,Programador,Contrato Indefinido,Jornada completa,Barcelona,12/11/2018,Hps Gesundheitscloud,,
68,Desarrollador Senior Angular,rf-32cbt7616f06d2dc73g2,https://www.tecnoempleo.com/desarrollador-senior-angular-sevilla/angular-javascript-typescript-natives/rf-32cbt7616f06d2dc73g2,Programador,Contrato Indefinido,Jornada completa,Sevilla,12/11/2018,Oblumi,24.000,36.000
69,Perfil Java DevOps,rf-133cu35b70310v5142n7,https://www.tecnoempleo.com/perfil-java-devops-madrid/java-devops-suite-spring-soap-rest-orm-hibernate/rf-133cu35b70310v5142n7,Analista - Analista Programador - Programador,,Jornada completa,Madrid,12/11/2018,EIKOS Technology & Consulting,27.000,33.000
70,Desarrollador JS (Nodejs - Angular4+),rf-88cff1b435d77l453cp9,https://www.tecnoempleo.com/desarrollador-js-nodejs-angular4-madrid/javascript-angular-nodejs/rf-88cff1b435d77l453cp9,Analista Programador - Programador,Contrato Indefinido,Jornada completa,Madrid,12/11/2018,Iscarem Human Resources,33.000,42.000
71,Desarrollador Angular-Java,rf-de91r850atd74m90fe68,https://www.tecnoempleo.com/desarrollador-angular-java-madrid/angular-2-angular-5-java-sql/rf-de91r850atd74m90fe68,Analista Programador,Contrato Indefinido,Jornada completa,Tres Cantos,12/11/2018,GMV,,
72,Desarrollador Java Spring,rf-03daic425lebe67edahd,https://www.tecnoempleo.com/desarrollador-java-spring-madrid/java-spring-boot-elasticsearch/rf-03daic425lebe67edahd,Analista Programador - Programador,Contrato Indefinido,Jornada completa,Madrid,12/11/2018,Iscarem Human Resources,33.000,42.000
73,Desarrollador Tableau con inglés,rf-83c4ladbfj267n62ddf8,https://www.tecnoempleo.com/desarrollador-tableau-con-ingles-madrid/tableau/rf-83c4ladbfj267n62ddf8,Programador,Contrato Indefinido,Jornada completa,"Madrid, Spain",12/11/2018,Page Personnel,,
74,Desarrollador BluePrism,rf-4002jebaebd658dc0dfb,https://www.tecnoempleo.com/desarrollador-blueprism-barcelona/blueprism/rf-4002jebaebd658dc0dfb,Programador,Contrato Indefinido,Jornada completa,"Barcelona, Spain",12/11/2018,Page Personnel,,
75,Administrador BMC ITSM,rf-68d0u9996m7a9c982bhb,https://www.tecnoempleo.com/administrador-bmc-itsm-alicante/bmc-itsm-remedy/rf-68d0u9996m7a9c982bhb,Administrador,Contrato Temporal,Jornada completa,Alicante,12/11/2018,Krell Consulting & Training,24.000,30.000
76,Junior DevOps AWS,rf-1e3bc7554g86e1fb29r6,https://www.tecnoempleo.com/junior-devops-aws-barcelona/aws-linux-docker-kubernetes/rf-1e3bc7554g86e1fb29r6,Administrador - Programador,Contrato Indefinido,Jornada completa,"Barcelona, Spain",12/11/2018,Page Personnel,,
77,Consultor SAP Basis Senior,rf-8e4ay325f5200q82ab57,https://www.tecnoempleo.com/consultor-sap-basis-senior-madrid/sap/rf-8e4ay325f5200q82ab57,Consultor,Contrato Temporal,Jornada completa,Madrid,12/11/2018,Krell Consulting & Training,39.000,45.000
78,Kam Soluciones Cloud,rf-d41d48cd9w8f0u0b20w4,https://www.tecnoempleo.com/kam-soluciones-cloud-madrid/cloud/rf-d41d48cd9w8f0u0b20w4,Comercial - Jefe de Proyecto,Contrato Indefinido,Jornada completa,Madrid,12/11/2018,HAYS,,
79,Consultor SAP FICO (cliente Final),rf-d41ds8cd9e8f0f0b20o4,https://www.tecnoempleo.com/consultor-sap-fico-cliente-final-barcelona/sap/rf-d41ds8cd9e8f0f0b20o4,Consultor,Contrato Indefinido,Jornada completa,Barcelona,12/11/2018,HAYS,,
80,Ingeniero de Redes LAN WAN,rf-cc2a45708w2baz8966w1,https://www.tecnoempleo.com/ingeniero-de-redes-lan-wan-madrid/redes-lan-wan-cisco-juniper-checkpoint-n/rf-cc2a45708w2baz8966w1,Redes,Contrato Temporal,Jornada completa,Madrid,12/11/2018,Avansis Integracion,,
81,Administrador Oracle  Service Bus,rf-812ba6118304ap8881kb,https://www.tecnoempleo.com/administrador-oracle-service-bus-madrid/oracle-bus-osb/rf-812ba6118304ap8881kb,Administrador - Técnico de Bases de Datos,Contrato Temporal,Jornada completa,Madrid,12/11/2018,Krell Consulting & Training,24.000,30.000
82,QA Automation Lead,rf-900107d43jed5a41a0r9,https://www.tecnoempleo.com/qa-automation-lead-barcelona/selenium-java-scrum/rf-900107d43jed5a41a0r9,Tester,Contrato Indefinido,Jornada completa,Barcelona,12/11/2018,Page Personnel,,
83,Analista Programador BPM en K2,rf-d670r4572d3fend0f8xc,https://www.tecnoempleo.com/analista-programador-bpm-en-k2-barcelona/bpm-k2-e/rf-d670r4572d3fend0f8xc,Analista Programador,Contrato Temporal,Jornada completa,Barcelona,12/11/2018,Krell Consulting & Training,30.000,36.000
84,Arquitecto Ciberseguridad,rf-205fre7a3694ck954707,https://www.tecnoempleo.com/arquitecto-ciberseguridad-madrid/cloud-soc-siem/rf-205fre7a3694ck954707,Arquitecto TIC - Seguridad,Contrato Temporal,Jornada completa,Madrid,12/11/2018,Krell Consulting & Training,30.000,36.000
85,Programador Java,rf-cf2cue8ea858end75f82,https://www.tecnoempleo.com/programador-java-valencia/java-soa/rf-cf2cue8ea858end75f82,Programador,Contrato Indefinido,Jornada completa,Valencia,12/11/2018,Avansis Integracion,,
86,Director Técnico - TIC,rf-31b68fce4a6aar649arc,https://www.tecnoempleo.com/director-tecnico-tic-zaragoza/pmp/rf-31b68fce4a6aar649arc,Jefe de Proyecto,Contrato Indefinido,Jornada completa,Zaragoza,12/11/2018,Michael Page,,
87,Analista Programador C y C++,rf-d41dq8cd9o8f0l0b20l4,https://www.tecnoempleo.com/analista-programador-c-c-barcelona/python-c-c-linux-debian-suse-kernel-dri/rf-d41dq8cd9o8f0l0b20l4,Analista Programador - Programador,Contrato Indefinido,Jornada completa,Barcelona,12/11/2018,Sopra Steria,,
88,Programador ASP.NET C# MVC,rf-1820z4362s4190c0a1r3,https://www.tecnoempleo.com/programador-asp-net-c-mvc-zaragoza/c-mvc-net/rf-1820z4362s4190c0a1r3,Analista Programador - Programador,Contrato Indefinido,Jornada completa,Zaragoza,12/11/2018,Diaple,,
89,PHP Backend Developer Empleo Extranjero,rf-1b65w1127v827c9bb7b8,https://www.tecnoempleo.com/php-backend-developer-overijssel/php-laravel-api-rest/rf-1b65w1127v827c9bb7b8,Desarrollador Web - Programador - Técnico Software,Contrato Indefinido,Jornada completa,Enschede,12/11/2018,Óscala,45.000,76.000
90,Senior Android Developer,rf-5b72v14f4i6c9nf150f0,https://www.tecnoempleo.com/senior-android-developer-barcelona/android/rf-5b72v14f4i6c9nf150f0,Programador - Tester,Contrato Indefinido,Jornada completa,Barcelona,12/11/2018,Hps Gesundheitscloud,,
91,Django/Python Developer,rf-3254f8c99q0f711f832c,https://www.tecnoempleo.com/django-python-developer-madrid/python-django-postgresql-linux-git-cloud-ht/rf-3254f8c99q0f711f832c,Programador,,Jornada completa,Las Rozas De Madrid,12/11/2018,Q4i,30.000,33.000
92,Ingeniero de Ciberseguridad,rf-4f8842499bbd2w0b6bkd,https://www.tecnoempleo.com/ingeniero-de-ciberseguridad-madrid/ciberseguridad/rf-4f8842499bbd2w0b6bkd,Arquitecto TIC,Contrato Indefinido,Jornada completa,Tres Cantos,12/11/2018,GMV,,
93,Programador Java,rf-dc34m2c95a11fa2866n1,https://www.tecnoempleo.com/programador-java-madrid/java/rf-dc34m2c95a11fa2866n1,Programador,Contrato Indefinido,Jornada completa,Madrid,12/11/2018,Alcorce Telecomunicaciones,,
94,Administrador Sistemas Linux AWS,rf-d834090a8k59av9f47gc,https://www.tecnoempleo.com/administrador-sistemas-linux-aws-madrid/aws-linux-php-git-jenkins-laravel-/rf-d834090a8k59av9f47gc,Administrador - Arquitecto TIC - Técnico de Sistemas,Contrato Indefinido,Jornada completa,Leganés,12/11/2018,Quambs,,
